metric,mean,min,max,valid_samples
left_hip_angle_deg,106.735,29.8,178.04,107
right_hip_angle_deg,113.54,49.18,176.8,107
left_knee_angle_deg,131.766,7.56,179.69,107
right_knee_angle_deg,126.606,17.66,179.89,107
left_ankle_angle_deg,139.297,14.47,178.26,107
right_ankle_angle_deg,140.455,35.02,179.68,107
left_shoulder_angle_deg,53.033,6.37,80.79,15
right_shoulder_angle_deg,57.663,0.55,123.26,107
left_elbow_angle_deg,157.72,109.23,176.05,9
right_elbow_angle_deg,150.503,37.45,180.0,107
trunk_lean_angle_deg,23.002,0.0,108.75,107
