metric,mean,min,max,valid_samples
left_hip_angle_deg,142.608,47.77,174.26,1316
right_hip_angle_deg,143.727,68.49,176.61,1316
left_knee_angle_deg,158.348,71.8,180.0,1316
right_knee_angle_deg,156.959,65.53,179.96,1316
left_ankle_angle_deg,154.558,105.01,180.0,1316
right_ankle_angle_deg,152.427,105.79,179.79,1316
left_shoulder_angle_deg,93.154,22.94,175.35,1316
right_shoulder_angle_deg,89.83,23.37,173.17,1316
left_elbow_angle_deg,119.298,12.59,179.96,1316
right_elbow_angle_deg,121.762,32.18,180.0,1316
trunk_lean_angle_deg,4.72,0.0,180.0,1316
athlete_depth_m,3.467,2.98,4.072,1316
center_depth_m,4.219,3.054,9.116,1316
