time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.044,Weightlifting,Clean & Jerk,Front View,Setup,Detected,55.18,76.11,158.42,156.97,147.05,161.43,126.5,111.7,174.03,163.76,108.43,3.116,8.483,False,,,,,,,,,,,,,,,
0.106,Weightlifting,Clean & Jerk,Front View,Setup,Detected,60.05,75.75,156.44,156.61,147.29,161.43,120.23,111.7,174.39,163.76,99.46,3.116,8.483,False,,,,,,,,,,,,,,,
0.167,Weightlifting,Clean & Jerk,Front View,Setup,Detected,69.83,79.16,152.7,156.23,146.31,161.43,108.8,107.92,173.29,163.76,71.57,3.148,8.254,False,,,,,,,,,,,,,,,
0.228,Weightlifting,Clean & Jerk,Front View,Setup,Detected,66.21,79.16,156.56,156.23,149.18,161.43,113.77,107.92,174.03,163.76,78.69,3.148,8.254,False,,,,,,,,,,,,,,,
0.293,Weightlifting,Clean & Jerk,Front View,Setup,Detected,60.61,80.31,156.64,158.14,148.16,162.19,119.74,107.92,173.39,163.76,90.0,3.132,8.144,False,,,,,,,,,,,,,,,
0.356,Weightlifting,Clean & Jerk,Front View,Setup,Detected,60.26,80.31,156.29,158.14,149.26,162.19,119.74,107.92,170.81,163.76,90.0,3.132,8.144,False,,,,,,,,,,,,,,,
0.42,Weightlifting,Clean & Jerk,Front View,Setup,Detected,60.26,80.31,156.29,157.39,148.16,161.43,119.74,107.92,169.51,163.76,90.0,3.116,8.603,False,,,,,,,,,,,,,,,
0.482,Weightlifting,Clean & Jerk,Front View,Setup,Detected,60.26,77.16,156.37,158.5,144.74,162.19,119.74,112.48,170.81,162.71,104.04,3.101,8.603,False,,,,,,,,,,,,,,,
0.545,Weightlifting,Clean & Jerk,Front View,Setup,Detected,60.26,68.49,156.45,157.66,142.61,162.84,119.74,120.91,170.81,162.18,120.96,3.101,8.726,False,,,,,,,,,,,,,,,
0.61,Weightlifting,Clean & Jerk,Front View,Setup,Detected,65.49,75.75,156.01,157.24,148.24,162.77,113.77,112.75,171.19,162.9,90.0,3.116,8.726,False,,,,,,,,,,,,,,,
0.675,Weightlifting,Clean & Jerk,Front View,Setup,Detected,70.82,82.87,155.55,156.87,150.5,162.77,108.06,104.74,171.19,163.41,59.04,3.054,8.483,False,,,,,,,,,,,,,,,
0.733,Weightlifting,Clean & Jerk,Front View,Setup,Detected,79.41,81.2,158.67,158.37,151.37,165.84,101.72,107.92,170.98,163.22,59.04,3.054,8.483,False,,,,,,,,,,,,,,,
