time_s,athlete_depth_m,center_depth_m
0.002,3.069,7.932
0.051,3.148,8.254
0.103,3.148,8.254
0.156,3.101,8.483
0.208,3.085,8.483
0.26,3.101,8.144
0.312,3.101,8.144
0.365,3.132,8.037
0.417,3.132,8.037
0.47,3.132,8.144
0.522,3.132,8.144
0.574,3.148,7.831
0.626,3.165,7.831
0.679,3.116,8.144
0.731,3.116,8.144
0.783,3.165,8.254
0.836,3.148,8.254
0.888,3.165,8.483
0.941,3.148,8.483
0.993,3.148,8.483
1.046,3.148,8.483
1.098,3.101,8.254
1.151,3.101,8.254
1.203,3.132,8.367
1.256,3.132,8.367
1.308,3.181,8.367
1.359,3.181,8.367
1.411,3.132,8.726
1.463,3.132,8.726
1.515,3.116,7.831
1.568,3.116,7.831
1.62,3.085,8.367
1.673,3.085,8.367
1.725,3.165,8.483
1.777,3.165,8.483
1.83,3.148,8.367
1.882,3.165,8.367
1.934,3.132,8.144
1.987,3.132,8.144
2.039,3.181,8.982
2.091,3.165,8.982
2.144,3.181,8.254
2.196,3.181,8.254
2.248,3.198,8.367
2.301,3.215,8.367
2.354,3.148,8.603
2.406,3.165,8.603
2.458,3.165,8.982
2.511,3.165,8.982
2.563,3.181,8.367
2.615,3.198,8.367
2.667,3.198,8.037
2.719,3.198,8.037
2.766,3.148,8.144
2.818,3.148,8.144
2.871,3.198,8.367
2.923,3.181,8.367
2.975,3.101,8.367
3.028,3.101,8.367
3.08,3.132,8.254
3.127,3.132,8.254
3.179,3.165,8.483
3.231,3.148,8.483
3.284,3.181,8.603
3.336,3.181,8.603
3.388,3.132,8.144
3.44,3.132,8.144
3.493,3.132,8.144
3.545,3.101,8.144
3.597,3.148,8.254
3.649,3.148,8.254
3.702,3.165,8.367
3.754,3.165,8.367
3.806,3.148,8.254
3.859,3.165,8.254
3.911,3.198,8.144
3.963,3.198,8.144
4.016,3.148,7.932
4.068,3.148,7.932
4.121,3.215,8.367
4.173,3.198,8.367
4.226,3.165,8.254
4.278,3.165,8.254
4.33,3.215,8.603
4.382,3.215,8.603
4.435,3.198,8.852
4.487,3.198,8.852
4.539,3.116,8.982
4.588,3.132,8.982
4.64,3.215,8.483
4.693,3.215,8.483
4.745,3.198,8.254
4.797,3.198,8.254
4.85,3.215,8.726
4.902,3.215,8.726
4.954,3.181,8.254
5.006,3.165,8.254
5.059,3.181,8.852
5.111,3.165,8.852
5.163,3.165,8.367
5.216,3.132,8.367
5.268,3.116,8.603
5.321,3.116,8.603
5.373,3.132,8.254
5.425,3.132,8.254
5.478,3.165,8.254
5.53,3.165,8.254
5.583,3.148,8.852
5.635,3.132,8.852
5.688,3.215,8.037
5.74,3.198,8.037
5.792,3.116,8.367
5.845,3.116,8.367
5.897,3.132,8.726
5.949,3.132,8.726
6.001,3.085,8.726
6.054,3.085,8.726
6.106,3.132,8.254
6.158,3.132,8.254
6.21,3.101,8.254
6.263,3.101,8.254
6.315,3.085,8.726
6.367,3.069,8.726
6.419,3.054,8.144
6.472,3.054,8.144
6.524,3.085,8.603
6.576,3.085,8.603
6.628,3.069,8.037
6.681,3.069,8.037
6.733,3.085,8.144
6.785,3.085,8.144
6.838,3.054,8.603
6.89,3.054,8.603
6.943,2.994,8.144
6.995,3.024,8.144
7.048,3.069,8.367
7.1,3.069,8.367
7.153,3.069,8.603
7.205,3.069,8.603
7.257,3.069,8.483
7.31,3.069,8.483
7.362,3.054,8.254
7.414,3.054,8.254
7.466,3.054,8.144
7.519,3.054,8.144
7.571,3.132,8.037
7.624,3.116,8.037
7.676,3.132,8.603
7.728,3.132,8.603
7.78,3.101,8.852
7.833,3.101,8.852
7.885,3.085,8.483
7.937,3.085,8.483
7.99,2.994,8.254
8.042,2.994,8.254
8.094,3.116,8.726
8.146,3.116,8.726
8.197,3.085,8.603
8.249,3.085,8.603
8.302,3.039,9.116
8.354,3.039,9.116
8.406,3.039,8.144
8.458,3.039,8.144
8.511,3.085,8.852
8.563,3.085,8.852
8.615,3.024,8.483
8.667,3.024,8.483
8.72,3.039,8.254
8.772,3.039,8.254
8.824,3.101,8.144
8.877,3.101,8.144
8.929,3.024,8.982
8.981,3.054,8.982
9.034,3.116,8.254
9.086,3.116,8.254
9.138,3.215,8.254
9.191,3.215,8.254
9.243,3.249,8.483
9.296,3.249,8.483
9.348,3.215,7.359
9.401,3.215,7.359
9.454,3.249,4.926
9.506,3.266,4.926
9.558,3.232,3.941
9.61,3.266,3.941
9.663,3.302,3.375
9.715,3.32,3.375
9.767,3.375,3.32
9.819,3.393,3.32
9.872,3.356,3.101
9.924,3.375,3.101
9.976,3.393,3.069
10.028,3.412,3.069
10.08,3.451,3.116
10.133,3.451,3.116
10.186,3.451,3.249
10.238,3.47,3.249
10.289,3.531,3.284
10.341,3.531,3.284
10.394,3.431,3.165
10.446,3.412,3.165
10.499,3.49,3.284
10.551,3.49,3.284
10.603,3.431,3.215
10.656,3.431,3.215
10.708,3.451,3.116
10.76,3.451,3.116
10.809,3.451,3.116
10.861,3.451,3.116
10.914,3.412,3.181
10.966,3.393,3.181
11.019,3.375,3.054
11.071,3.375,3.054
11.124,3.338,3.101
11.176,3.338,3.101
11.228,3.266,3.116
11.281,3.284,3.116
11.333,3.302,3.116
11.386,3.302,3.116
11.438,3.302,3.116
11.49,3.302,3.116
11.542,3.249,3.132
11.595,3.249,3.132
11.647,3.284,3.085
11.699,3.284,3.085
11.751,3.266,3.085
11.804,3.266,3.085
11.856,3.266,3.101
11.909,3.266,3.101
11.961,3.302,3.116
12.013,3.32,3.116
12.065,3.249,3.165
12.118,3.249,3.165
12.17,3.249,3.101
12.222,3.249,3.101
12.275,3.266,3.148
12.327,3.266,3.148
12.379,3.284,3.148
12.432,3.284,3.148
12.484,3.266,3.085
12.536,3.266,3.085
12.589,3.32,3.101
12.641,3.32,3.101
12.694,3.266,3.181
12.746,3.266,3.181
12.798,3.32,3.165
12.85,3.32,3.165
12.903,3.338,3.181
12.955,3.338,3.181
13.008,3.284,3.148
13.06,3.284,3.148
13.112,3.338,3.181
13.164,3.338,3.181
13.217,3.32,3.148
13.269,3.32,3.148
13.322,3.284,3.132
13.374,3.284,3.132
13.424,3.338,3.198
13.477,3.356,3.198
13.529,3.356,3.181
13.581,3.356,3.181
13.634,3.302,3.132
13.686,3.302,3.132
13.738,3.32,3.198
13.791,3.338,3.198
13.843,3.302,3.165
13.895,3.338,3.165
13.947,3.232,3.232
13.999,3.249,3.232
14.052,3.266,3.232
14.104,3.284,3.232
14.156,3.451,3.215
14.209,3.451,3.215
14.261,3.356,3.215
14.313,3.375,3.215
14.365,3.47,3.232
14.417,3.47,3.232
14.469,3.375,3.249
14.522,3.393,3.249
14.574,3.375,3.249
14.626,3.393,3.249
14.678,3.266,3.266
14.731,3.284,3.266
14.783,3.284,3.266
14.836,3.302,3.266
14.888,3.375,3.266
14.94,3.375,3.266
14.992,3.32,3.32
15.044,3.375,3.32
15.097,3.412,3.302
15.149,3.431,3.302
15.201,3.375,3.338
15.254,3.412,3.338
15.306,3.32,3.32
15.358,3.356,3.32
15.41,3.302,3.302
15.463,3.32,3.302
15.515,3.375,3.266
15.567,3.393,3.266
15.619,3.338,3.356
15.671,3.338,3.356
15.723,3.338,3.266
15.775,3.338,3.266
15.828,3.284,3.375
15.88,3.284,3.375
15.932,3.338,3.412
15.985,3.338,3.412
16.037,3.338,3.51
16.089,3.32,3.51
16.142,3.338,3.451
16.194,3.356,3.451
16.246,3.302,3.356
16.298,3.302,3.356
16.351,3.338,3.356
16.403,3.338,3.356
16.452,3.375,3.356
16.504,3.375,3.356
16.556,3.32,3.302
16.609,3.32,3.302
16.661,3.302,3.32
16.713,3.302,3.32
16.765,3.284,3.32
16.818,3.284,3.32
16.87,3.338,3.356
16.922,3.338,3.356
16.975,3.51,3.572
17.027,3.451,3.572
17.079,3.614,3.68
17.131,3.593,3.68
17.184,3.657,3.724
17.236,3.657,3.724
17.288,3.702,3.614
17.341,3.702,3.614
17.393,3.593,3.572
17.445,3.593,3.572
17.498,3.451,3.249
17.55,3.451,3.249
17.603,3.572,3.47
17.655,3.572,3.47
17.708,3.68,3.68
17.76,3.68,3.68
17.812,3.77,3.593
17.864,3.702,3.593
17.917,3.593,3.51
17.969,3.51,3.51
18.021,3.451,3.47
18.074,3.431,3.47
18.126,3.593,3.593
18.178,3.551,3.593
18.23,3.702,3.636
18.283,3.68,3.636
18.335,3.531,3.551
18.388,3.572,3.551
18.44,3.356,3.451
18.492,3.356,3.451
18.544,3.356,3.47
18.596,3.356,3.47
18.649,3.393,3.412
18.701,3.375,3.412
18.754,3.393,3.47
18.806,3.393,3.47
18.854,3.47,3.51
18.906,3.51,3.51
18.958,3.393,3.451
19.01,3.412,3.451
19.062,3.375,3.531
19.114,3.393,3.531
19.167,3.375,3.531
19.219,3.375,3.531
19.271,3.393,3.49
19.324,3.431,3.49
19.376,3.412,3.49
19.428,3.412,3.49
19.481,3.531,3.51
19.533,3.572,3.51
19.586,3.531,3.551
19.638,3.572,3.551
19.69,3.572,3.47
19.743,3.593,3.47
19.795,3.451,3.551
19.847,3.451,3.551
19.899,3.77,3.49
19.952,3.77,3.49
20.004,3.818,3.51
20.057,3.89,3.51
20.11,3.747,3.51
20.162,3.89,3.51
20.215,3.941,3.51
20.267,4.072,3.51
20.319,3.724,3.51
20.372,3.794,3.51
20.424,3.551,3.49
20.472,3.636,3.49
20.524,3.451,3.47
20.576,3.551,3.47
20.629,3.49,3.47
20.681,3.531,3.47
20.734,3.49,3.431
20.786,3.49,3.431
20.839,3.412,3.431
20.891,3.431,3.431
20.943,3.302,3.338
20.995,3.338,3.338
21.048,3.431,3.356
21.101,3.412,3.356
21.153,3.393,3.32
21.205,3.393,3.32
21.258,3.393,3.302
21.311,3.393,3.302
21.363,3.284,3.232
21.415,3.284,3.232
21.468,3.32,3.302
21.52,3.32,3.302
21.573,3.431,3.302
21.626,3.431,3.302
21.678,3.431,3.302
21.73,3.431,3.302
21.783,3.47,3.356
21.835,3.47,3.356
21.888,3.47,3.393
21.94,3.451,3.393
21.993,3.47,3.393
22.045,3.451,3.393
22.098,3.451,3.431
22.15,3.451,3.431
22.203,3.51,3.431
22.255,3.51,3.431
22.308,3.49,3.451
22.36,3.47,3.451
22.412,3.47,3.47
22.465,3.47,3.47
22.517,3.572,3.49
22.569,3.531,3.49
22.622,3.551,3.531
22.674,3.551,3.531
22.726,3.593,3.49
22.778,3.593,3.49
22.83,3.614,3.47
