time_s,athlete_depth_m,center_depth_m
0.0,3.356,3.338
0.04,3.338,3.302
0.115,3.338,3.302
0.205,3.32,3.266
0.29,3.302,3.266
0.358,3.32,3.249
0.438,3.32,3.249
0.496,3.338,3.198
0.58,3.338,3.198
0.665,3.338,3.198
0.73,3.32,3.198
0.806,3.32,3.148
0.873,3.32,3.148
0.936,3.249,3.165
1.008,3.249,3.165
1.08,3.148,3.101
1.175,3.148,3.101
1.255,3.148,3.009
1.331,3.148,3.009
1.414,3.181,3.009
1.502,3.181,3.009
1.579,3.232,2.965
1.675,3.249,2.965
1.76,3.198,3.009
1.834,3.215,3.009
1.915,3.181,3.069
1.997,3.198,3.069
2.062,3.165,3.148
2.126,3.181,3.148
2.202,3.148,3.636
2.281,3.165,3.636
2.377,3.198,4.886
2.46,3.215,4.886
2.546,3.165,7.186
2.62,3.165,7.186
2.686,3.101,7.732
2.766,3.085,7.732
2.841,3.101,8.037
2.928,3.101,8.037
3.005,3.116,8.852
3.084,3.116,8.852
3.174,3.116,8.367
3.231,3.116,8.367
3.299,3.165,8.254
3.384,3.165,8.254
3.454,3.116,7.541
3.537,3.116,7.541
3.618,3.148,7.541
3.68,3.148,7.541
3.768,3.085,8.144
3.853,3.085,8.144
3.925,3.085,8.852
4.013,3.085,8.852
4.089,3.085,8.726
4.155,3.101,8.726
4.232,3.054,8.603
4.319,3.054,8.603
4.423,3.069,8.483
4.501,3.069,8.483
4.566,3.101,8.254
4.64,3.101,8.254
4.729,3.116,8.483
4.816,3.116,8.483
4.895,3.101,8.852
4.982,3.101,8.852
5.067,3.101,8.144
5.169,3.085,8.144
5.242,3.132,8.037
5.315,3.132,8.037
5.386,3.085,8.852
5.454,3.085,8.852
5.538,3.085,8.254
5.612,3.085,8.254
5.682,3.085,8.367
5.747,3.085,8.367
5.809,3.101,8.254
5.868,3.085,8.254
5.935,3.101,8.726
6.012,3.101,8.726
6.105,3.085,8.254
6.185,3.101,8.254
6.257,3.132,7.932
6.32,3.132,7.932
6.395,3.085,8.144
6.457,3.085,8.144
6.527,3.132,8.254
6.607,3.132,8.254
6.679,3.116,8.254
6.742,3.116,8.254
6.822,3.069,8.483
6.895,3.069,8.483
6.96,3.116,8.603
7.02,3.116,8.603
7.087,3.132,8.483
7.15,3.132,8.483
7.214,3.116,8.603
7.291,3.116,8.603
7.367,3.116,8.483
7.427,3.101,8.483
7.508,3.054,8.254
7.585,3.024,8.254
7.666,3.101,8.254
7.741,3.085,8.254
7.807,3.039,8.603
7.883,3.039,8.603
7.962,3.069,8.037
8.04,3.069,8.037
8.116,3.132,7.732
8.181,3.132,7.732
8.265,3.054,8.603
8.335,3.054,8.603
8.395,3.069,8.367
8.458,3.069,8.367
8.52,3.116,7.932
8.583,3.116,7.932
8.647,3.116,8.367
8.711,3.116,8.367
8.772,3.085,8.367
8.837,3.085,8.367
8.904,3.024,8.254
8.966,3.024,8.254
9.029,3.085,8.852
9.088,3.085,8.852
9.168,3.101,8.367
9.226,3.101,8.367
9.292,3.148,8.144
