time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m
0.0,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,161.51,165.52,179.63,179.45,160.84,171.32,22.11,28.66,168.97,152.95,2.9,3.356,3.338
0.04,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,161.68,165.72,179.58,179.82,160.84,171.49,21.89,28.66,168.88,151.77,2.88,3.338,3.302
0.115,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,159.29,164.8,178.59,179.11,160.8,171.08,24.46,28.84,167.75,152.4,3.13,3.338,3.302
0.205,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,159.02,164.42,178.51,178.85,160.72,171.58,23.6,28.69,170.0,152.83,3.21,3.32,3.266
0.29,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,156.55,164.28,176.67,178.85,160.83,171.58,25.07,28.84,169.86,151.93,3.37,3.302,3.266
0.358,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,156.14,164.99,176.56,179.39,160.81,172.32,25.39,30.76,169.79,149.28,3.45,3.32,3.249
0.438,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,154.09,164.68,174.71,178.58,159.03,175.74,25.11,30.32,173.52,150.24,3.61,3.32,3.249
0.496,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,154.86,164.76,174.83,178.4,159.04,175.83,25.62,31.54,173.52,147.84,3.12,3.338,3.198
0.58,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,152.95,163.07,173.23,179.87,159.15,175.09,26.49,32.72,174.94,148.33,3.33,3.338,3.198
0.665,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,152.65,161.9,173.35,179.87,160.02,175.09,26.9,32.65,176.09,150.79,2.83,3.338,3.198
0.73,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,152.39,161.9,171.35,179.95,159.09,175.27,25.83,33.64,177.56,149.99,2.78,3.32,3.198
0.806,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,152.52,161.9,171.47,179.86,159.08,175.36,25.83,33.64,177.56,149.62,2.78,3.32,3.148
0.873,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,152.97,161.46,171.22,179.86,159.09,174.84,26.02,34.6,179.1,149.09,2.29,3.32,3.148
0.936,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,152.83,161.46,171.1,179.86,158.24,174.84,26.16,34.6,178.85,149.28,2.29,3.249,3.165
1.008,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,152.59,161.71,170.56,179.08,158.29,173.88,27.74,34.24,175.57,150.17,2.41,3.249,3.165
1.08,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,150.84,161.37,170.41,178.89,155.96,173.81,29.32,34.48,175.57,150.17,3.08,3.148,3.101
1.175,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,148.38,160.51,168.5,178.32,155.12,173.59,30.39,35.21,177.36,148.45,3.25,3.148,3.101
1.255,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,146.6,160.38,167.25,178.19,157.49,173.59,31.05,35.21,177.08,148.23,3.29,3.148,3.009
1.331,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,146.69,158.58,166.62,176.0,158.4,172.66,31.55,35.75,175.7,149.75,2.73,3.148,3.009
1.414,Weightlifting,Clean & Jerk,Side View,Not Detected,Detected,146.45,158.58,166.4,176.0,160.76,172.66,31.55,37.0,175.7,147.41,2.73,3.181,3.009
