time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.055,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,49.39,,146.9,,112.7,,73.37,,155.45,104.46,3.875,7.749,True,292.0,429.0,,,,,,-0.1812,0.981,3.239,,,,,
0.134,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,48.58,,146.9,,111.53,,74.7,,148.41,105.29,3.875,7.749,True,291.0,429.0,,,,,,-0.1855,0.9759,3.222,,,,,
0.211,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,48.58,,146.9,,109.35,,75.95,,148.04,105.29,3.875,7.749,True,292.0,429.0,,,,,,-0.1812,0.981,3.239,,,,,
0.291,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,48.18,,147.21,,112.58,,77.43,,150.44,105.71,3.875,7.749,True,291.0,429.0,,,,,,-0.1855,0.9759,3.222,,,,,
0.367,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,49.0,,148.97,,115.67,,78.07,,151.03,105.71,3.85,7.558,True,291.0,428.0,,,,,,-0.1865,0.9758,3.239,,,,,
0.446,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,48.4,,148.14,,117.73,,77.21,,155.64,105.59,3.875,7.558,True,291.0,428.0,,,,,,-0.1865,0.9758,3.239,,,,,
0.526,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,48.4,,148.14,,117.73,,77.21,,157.53,105.48,3.875,7.849,True,291.0,429.0,,,,,,-0.1855,0.9759,3.222,,,,,
0.603,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,48.18,,148.33,,117.92,,78.07,,156.29,105.71,3.875,7.849,True,291.0,428.0,,,,,,-0.1855,0.9707,3.222,,,,,
0.683,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,47.97,,148.25,,114.57,,79.11,,156.4,106.66,3.85,7.749,True,291.0,428.0,,,,,,-0.1865,0.9758,3.239,,,,,
0.759,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,47.97,,148.25,,111.54,,78.47,,157.53,106.24,3.85,7.749,True,291.0,428.0,,,,,,-0.1865,0.9758,3.239,,,,,
0.837,Weightlifting,Clean & Jerk,Side View,Setup,Detected,,47.97,,148.25,,110.56,,77.24,,154.64,106.24,3.875,7.749,True,291.0,428.0,,,,,,-0.1855,0.9707,3.222,,,,,
