metric,mean,min,max,valid_samples
left_hip_angle_deg,161.894,102.36,179.32,182
right_hip_angle_deg,129.459,49.77,180.0,1116
left_knee_angle_deg,136.119,88.84,170.69,182
right_knee_angle_deg,131.188,57.23,179.87,1114
left_ankle_angle_deg,104.962,80.57,132.81,182
right_ankle_angle_deg,111.447,71.39,165.54,1114
right_shoulder_angle_deg,86.036,0.1,179.64,1115
right_elbow_angle_deg,152.272,0.68,178.99,584
trunk_lean_angle_deg,16.024,0.0,66.17,1116
athlete_depth_m,3.898,3.364,4.109,1116
center_depth_m,5.033,3.188,8.386,1117
barbell_horizontal_displacement_px,21.877,-8.0,57.0,854
barbell_vertical_displacement_px,220.566,0.0,315.0,854
barbell_vertical_velocity_px_s,7.476,-70.85,123.36,854
barbell_horizontal_velocity_px_s,1.112,-53.23,70.97,854
barbell_horizontal_displacement_m,0.119,-0.046,0.322,854
barbell_vertical_displacement_m,1.195,-0.0,1.736,854
barbell_vertical_velocity_m_s,0.034,-0.732,0.666,854
barbell_horizontal_velocity_m_s,0.005,-0.302,0.372,854
