time_s,phase,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.005,Setup,True,297.0,429.0,,,,,,-0.1542,0.9759,3.222,,,,,
0.062,Setup,True,297.0,429.0,,,,,,-0.1542,0.9759,3.222,,,,,
0.118,Setup,True,297.0,429.0,,,,,,-0.1542,0.9759,3.222,,,,,
0.175,Setup,True,298.0,428.0,,,,,,-0.1498,0.9758,3.239,,,,,
0.232,Setup,True,298.0,428.0,,,,,,-0.1498,0.9758,3.239,,,,,
0.288,Setup,True,298.0,429.0,,,,,,-0.1498,0.981,3.239,,,,,
0.345,Setup,True,298.0,429.0,,,,,,-0.1498,0.981,3.239,,,,,
0.401,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
0.457,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
0.514,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
0.571,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
0.628,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
0.685,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
0.742,Setup,True,299.0,429.0,,,,,,-0.1445,0.981,3.239,,,,,
0.798,Setup,True,299.0,429.0,,,,,,-0.1445,0.981,3.239,,,,,
0.855,Setup,True,299.0,429.0,,,,,,-0.1453,0.9862,3.256,,,,,
0.911,Setup,True,299.0,430.0,,,,,,-0.1445,0.9863,3.239,,,,,
0.967,Setup,True,299.0,429.0,,,,,,-0.1453,0.9862,3.256,,,,,
1.024,Setup,True,299.0,429.0,,,,,,-0.1453,0.9862,3.256,,,,,
1.08,Setup,True,299.0,428.0,,,,,,-0.1445,0.9758,3.239,,,,,
1.137,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
1.194,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
1.25,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
1.307,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
1.363,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
1.42,Setup,True,298.0,429.0,,,,,,-0.1498,0.981,3.239,,,,,
1.477,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
1.534,Setup,True,298.0,430.0,,,,,,-0.149,0.9811,3.222,,,,,
1.591,Setup,True,298.0,428.0,,,,,,-0.1498,0.9758,3.239,,,,,
1.647,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
1.704,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
1.761,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
1.818,Setup,True,299.0,429.0,,,,,,-0.1445,0.981,3.239,,,,,
1.875,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
1.931,Setup,True,298.0,428.0,,,,,,-0.149,0.9707,3.222,,,,,
1.987,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
2.043,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
2.1,Setup,True,298.0,429.0,,,,,,-0.1498,0.981,3.239,,,,,
2.156,Setup,True,299.0,430.0,,,,,,-0.1438,0.9811,3.222,,,,,
2.213,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
2.27,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
2.326,Setup,True,298.0,428.0,,,,,,-0.149,0.9707,3.222,,,,,
2.383,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
2.44,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
2.496,Setup,True,298.0,428.0,,,,,,-0.149,0.9707,3.222,,,,,
2.552,Setup,True,298.0,429.0,,,,,,-0.1498,0.981,3.239,,,,,
2.608,Setup,True,298.0,429.0,,,,,,-0.1498,0.981,3.239,,,,,
2.665,Setup,True,298.0,428.0,,,,,,-0.1498,0.9758,3.239,,,,,
2.721,Setup,True,299.0,430.0,,,,,,-0.1438,0.9811,3.222,,,,,
2.778,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
2.834,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
2.891,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
2.948,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
3.005,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
3.061,Setup,True,298.0,428.0,,,,,,-0.1498,0.9758,3.239,,,,,
3.118,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
3.175,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
3.232,Setup,True,299.0,429.0,,,,,,-0.1438,0.9759,3.222,,,,,
3.288,Setup,True,298.0,428.0,,,,,,-0.149,0.9707,3.222,,,,,
3.345,Setup,True,298.0,429.0,,,,,,-0.149,0.9759,3.222,,,,,
3.401,Setup,True,299.0,430.0,,,,,,-0.1438,0.9811,3.222,,,,,
3.458,Setup,True,299.0,429.0,,,,,,-0.1445,0.981,3.239,,,,,
3.515,Setup,True,299.0,429.0,,,,,,-0.1445,0.981,3.239,,,,,
3.571,Setup,True,298.0,428.0,,,,,,-0.1498,0.9758,3.239,,,,,
3.628,Setup,True,297.0,428.0,,,,,,-0.155,0.9758,3.239,,,,,
3.685,Setup,True,298.0,429.0,,,,,,-0.1498,0.981,3.239,,,,,
