time_s,athlete_depth_m,center_depth_m
0.014,3.32,
0.066,3.412,5.09
0.118,3.412,5.09
0.17,3.412,5.358
0.222,3.412,5.358
0.275,3.47,5.988
0.327,3.431,5.988
0.379,3.302,7.359
0.432,3.266,7.359
0.484,3.338,8.483
0.536,3.32,8.483
0.588,3.338,8.483
0.641,3.338,8.483
0.693,3.284,7.541
0.745,3.284,7.541
0.797,3.356,7.359
0.85,3.356,7.359
0.902,3.302,8.037
0.954,3.302,8.037
1.007,3.302,7.831
1.06,3.302,7.831
1.107,3.302,7.635
1.159,3.302,7.635
1.212,3.302,8.144
1.264,3.302,8.144
1.317,3.302,8.483
1.369,3.284,8.483
1.421,3.266,8.254
1.473,3.266,8.254
1.525,3.338,8.726
1.578,3.338,8.726
1.63,3.249,7.932
1.683,3.249,7.932
1.735,3.302,8.144
1.788,3.284,8.144
1.84,3.302,8.144
1.893,3.32,8.144
1.945,3.302,8.483
1.997,3.302,8.483
2.049,3.284,7.831
2.102,3.284,7.831
2.154,3.284,7.932
2.206,3.284,7.932
2.258,3.266,7.831
2.311,3.266,7.831
2.363,3.266,8.483
2.415,3.266,8.483
2.467,3.302,8.483
2.52,3.302,8.483
2.572,3.32,7.932
2.625,3.32,7.932
2.677,3.302,8.037
2.729,3.302,8.037
2.782,3.393,8.144
2.834,3.393,8.144
2.886,3.338,8.254
2.938,3.338,8.254
2.991,3.375,8.254
3.043,3.375,8.254
3.096,3.338,8.144
3.148,3.338,8.144
3.201,3.393,7.541
3.253,3.393,7.541
3.305,3.356,7.932
3.358,3.356,7.932
3.41,3.431,7.932
3.463,3.431,7.932
3.516,3.393,8.037
3.568,3.393,8.037
3.621,3.393,7.732
3.673,3.393,7.732
3.725,3.431,8.037
3.778,3.431,8.037
3.83,3.412,8.037
3.883,3.412,8.037
3.935,3.375,7.732
3.988,3.375,7.732
4.041,3.412,7.831
4.093,3.412,7.831
4.146,3.431,7.635
4.198,3.431,7.635
4.251,3.412,8.483
4.303,3.412,8.483
4.356,3.49,8.254
4.408,3.47,8.254
4.461,3.47,8.483
4.513,3.451,8.483
4.565,3.451,8.726
4.618,3.451,8.726
4.67,3.431,8.254
4.723,3.412,8.254
4.775,3.451,8.144
4.827,3.412,8.144
4.879,3.393,8.037
4.931,3.393,8.037
4.984,3.412,7.932
5.036,3.375,7.932
5.088,3.412,7.932
5.141,3.356,7.932
5.193,3.375,8.982
5.245,3.338,8.982
5.297,3.356,7.831
5.35,3.356,7.831
5.402,3.356,8.144
5.454,3.356,8.144
5.506,3.302,7.831
5.559,3.266,7.831
5.611,3.266,8.603
5.663,3.249,8.603
5.716,3.284,8.254
5.768,3.215,8.254
5.821,3.249,8.144
5.873,3.249,8.144
5.925,3.215,8.603
5.977,3.215,8.603
6.03,3.181,8.254
6.082,3.181,8.254
6.134,3.181,8.367
6.187,3.165,8.367
6.239,3.165,8.367
6.291,3.165,8.367
6.343,3.165,7.831
6.395,3.165,7.831
6.448,3.132,8.254
6.5,3.116,8.254
6.552,3.085,8.852
6.605,3.085,8.852
6.657,3.009,8.144
6.709,3.009,8.144
6.761,3.085,8.037
6.813,3.069,8.037
6.865,3.024,8.254
6.917,3.039,8.254
6.969,3.085,7.932
7.022,3.085,7.932
7.074,3.069,8.254
7.126,3.069,8.254
7.179,3.069,7.932
7.231,3.069,7.932
7.283,3.069,8.483
