time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.014,Weightlifting,Snatch,Front View,Setup,Detected,61.92,57.43,54.94,46.26,110.73,109.79,55.96,50.42,172.08,171.65,3.18,3.32,,False,,,,,,,,,,,,,,,
0.066,Weightlifting,Snatch,Front View,Setup,Detected,61.92,57.27,54.94,46.26,109.18,109.79,55.96,51.35,172.08,170.88,3.21,3.412,5.09,False,,,,,,,,,,,,,,,
0.118,Weightlifting,Snatch,Front View,Setup,Detected,60.6,57.27,54.05,46.26,117.85,109.79,55.96,51.35,170.92,170.88,3.21,3.412,5.09,False,,,,,,,,,,,,,,,
0.17,Weightlifting,Snatch,Front View,Setup,Detected,59.57,55.91,52.75,44.74,119.76,109.79,55.7,51.19,170.92,170.88,3.15,3.412,5.358,False,,,,,,,,,,,,,,,
0.222,Weightlifting,Snatch,Front View,Setup,Detected,59.57,54.43,52.75,43.25,119.76,109.79,55.7,51.19,171.6,170.23,3.15,3.412,5.358,False,,,,,,,,,,,,,,,
0.275,Weightlifting,Snatch,Front View,Setup,Detected,59.03,54.57,53.05,42.55,119.76,109.56,56.54,50.34,171.6,170.23,4.05,3.47,5.988,False,,,,,,,,,,,,,,,
0.327,Weightlifting,Snatch,Front View,Setup,Detected,59.57,47.57,52.75,36.82,119.76,112.67,55.7,51.14,171.6,168.81,3.6,3.431,5.988,False,,,,,,,,,,,,,,,
0.379,Weightlifting,Snatch,Front View,Setup,Detected,58.79,45.43,51.12,36.64,119.76,113.78,55.56,52.9,170.89,166.86,2.7,3.302,7.359,False,,,,,,,,,,,,,,,
0.432,Weightlifting,Snatch,Front View,Setup,Detected,58.29,50.16,51.46,37.78,119.76,109.14,57.27,52.34,168.16,168.09,3.66,3.266,7.359,False,,,,,,,,,,,,,,,
0.484,Weightlifting,Snatch,Front View,Setup,Detected,58.02,52.68,50.96,40.12,117.35,108.8,57.54,51.69,168.16,169.55,3.72,3.338,8.483,False,,,,,,,,,,,,,,,
0.536,Weightlifting,Snatch,Front View,Setup,Detected,56.4,51.79,47.93,39.78,116.46,114.01,57.02,53.39,168.69,167.63,3.21,3.32,8.483,False,,,,,,,,,,,,,,,
0.588,Weightlifting,Snatch,Front View,Setup,Detected,56.14,51.79,48.82,39.43,119.25,117.59,58.01,54.22,167.95,166.16,3.23,3.338,8.483,False,,,,,,,,,,,,,,,
0.641,Weightlifting,Snatch,Front View,Setup,Detected,57.37,54.6,49.63,41.5,116.93,114.76,58.77,54.22,167.2,167.27,3.23,3.338,8.483,False,,,,,,,,,,,,,,,
0.693,Weightlifting,Snatch,Front View,Setup,Detected,57.37,56.06,49.63,42.57,116.93,114.13,58.77,54.22,167.2,167.27,3.23,3.284,7.541,False,,,,,,,,,,,,,,,
0.745,Weightlifting,Snatch,Front View,Setup,Detected,60.17,55.88,51.41,42.57,116.51,114.13,58.26,55.25,165.94,166.41,2.82,3.284,7.541,False,,,,,,,,,,,,,,,
0.797,Weightlifting,Snatch,Front View,Setup,Detected,59.91,54.43,51.41,41.5,114.7,112.79,59.28,56.13,165.18,164.43,2.84,3.356,7.359,False,,,,,,,,,,,,,,,
0.85,Weightlifting,Snatch,Front View,Setup,Detected,58.88,54.25,50.12,41.5,114.7,112.79,59.02,57.19,165.18,163.55,2.84,3.356,7.359,False,,,,,,,,,,,,,,,
0.902,Weightlifting,Snatch,Front View,Setup,Detected,58.88,53.0,50.12,40.08,114.7,112.79,59.02,57.86,165.81,162.69,2.82,3.302,8.037,False,,,,,,,,,,,,,,,
0.954,Weightlifting,Snatch,Front View,Setup,Detected,58.88,53.53,50.12,41.11,114.7,112.4,59.8,58.77,164.4,161.57,2.35,3.302,8.037,False,,,,,,,,,,,,,,,
1.007,Weightlifting,Snatch,Front View,Setup,Detected,58.88,53.33,50.12,41.11,116.51,112.4,60.61,59.87,163.59,160.66,2.37,3.302,7.831,False,,,,,,,,,,,,,,,
1.06,Weightlifting,Snatch,Front View,Setup,Detected,57.87,46.56,48.85,36.98,116.51,117.01,60.36,59.87,163.59,160.66,2.35,3.302,7.831,False,,,,,,,,,,,,,,,
1.107,Weightlifting,Snatch,Front View,Setup,Detected,56.61,46.56,48.03,36.98,116.93,117.01,60.36,59.87,163.59,160.66,2.35,3.302,7.635,False,,,,,,,,,,,,,,,
1.159,Weightlifting,Snatch,Front View,Setup,Detected,56.36,47.5,48.03,36.57,115.12,115.85,61.44,59.67,162.76,160.66,2.35,3.302,7.635,False,,,,,,,,,,,,,,,
1.212,Weightlifting,Snatch,Front View,Setup,Detected,56.36,48.77,48.03,37.48,115.12,115.5,61.44,59.67,162.76,160.66,2.35,3.302,8.144,False,,,,,,,,,,,,,,,
1.264,Weightlifting,Snatch,Front View,Setup,Detected,57.36,46.46,48.85,34.52,114.7,113.07,62.53,59.48,160.73,161.78,2.35,3.302,8.144,False,,,,,,,,,,,,,,,
1.317,Weightlifting,Snatch,Front View,Setup,Detected,56.36,45.25,47.6,33.67,114.7,113.42,63.13,59.48,159.29,161.78,2.33,3.302,8.483,False,,,,,,,,,,,,,,,
1.369,Weightlifting,Snatch,Front View,Setup,Detected,55.12,45.06,46.79,33.67,111.86,107.99,63.13,60.61,159.29,161.49,2.35,3.284,8.483,False,,,,,,,,,,,,,,,
1.421,Weightlifting,Snatch,Front View,Setup,Detected,53.91,45.06,45.98,34.13,112.27,108.46,64.0,61.57,157.84,159.89,2.35,3.266,8.254,False,,,,,,,,,,,,,,,
1.473,Weightlifting,Snatch,Front View,Setup,Detected,53.91,45.37,45.57,34.98,113.4,109.83,63.13,61.5,159.29,159.72,1.88,3.266,8.254,False,,,,,,,,,,,,,,,
1.525,Weightlifting,Snatch,Front View,Setup,Detected,53.65,45.16,45.57,34.98,113.4,109.83,64.26,62.67,158.41,158.16,1.91,3.338,8.726,False,,,,,,,,,,,,,,,
1.578,Weightlifting,Snatch,Front View,Setup,Detected,53.15,43.7,43.91,33.3,112.5,112.38,64.81,62.58,156.41,157.94,2.37,3.338,8.726,False,,,,,,,,,,,,,,,
1.63,Weightlifting,Snatch,Front View,Setup,Detected,53.15,43.7,43.91,33.3,112.5,110.64,64.81,62.58,155.86,158.57,2.37,3.249,7.932,False,,,,,,,,,,,,,,,
