time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m
0.001,Weightlifting,Snatch,Side View,Not Detected,Detected,,31.44,,100.63,,109.37,,64.09,,153.43,94.64,3.826,7.652
0.058,Weightlifting,Snatch,Side View,Not Detected,Detected,,30.9,,96.95,,107.96,,66.41,,164.49,94.64,3.779,8.055
0.121,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.21,,102.67,,107.23,,60.74,,136.03,94.6,3.779,8.055
0.178,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.21,,104.35,,105.66,,59.71,,130.33,94.95,3.875,7.558
0.244,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.69,,105.39,,103.91,,64.09,,150.03,95.02,3.875,7.558
0.313,Weightlifting,Snatch,Side View,Not Detected,Detected,,31.26,,103.46,,104.6,,65.97,,156.7,95.02,3.802,7.849
0.393,Weightlifting,Snatch,Side View,Not Detected,Detected,,31.29,,102.75,,104.6,,58.01,,133.58,95.02,3.802,7.849
0.467,Weightlifting,Snatch,Side View,Not Detected,Detected,,31.12,,104.24,,105.53,,55.98,,125.77,95.4,3.826,7.652
0.561,Weightlifting,Snatch,Side View,Not Detected,Detected,,31.7,,106.38,,109.43,,56.07,,112.83,94.99,3.826,7.652
0.647,Weightlifting,Snatch,Side View,Not Detected,Detected,,31.79,,106.38,,109.43,,54.22,,108.17,94.95,3.779,7.037
0.727,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.25,,108.53,,110.77,,64.09,,131.48,94.99,3.779,7.037
0.809,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.33,,108.53,,112.62,,66.33,,138.43,94.95,3.802,7.376
0.912,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.2,,106.14,,110.64,,68.25,,148.08,95.71,3.802,7.376
0.978,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.42,,105.08,,110.16,,68.11,,154.47,95.3,3.756,7.849
1.038,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.44,,103.11,,110.62,,66.86,,151.07,94.54,3.756,7.849
1.103,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.44,,102.66,,108.43,,66.86,,151.07,94.51,3.875,8.386
1.173,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.62,,104.32,,108.92,,68.02,,155.25,94.54,3.875,8.386
1.247,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.01,,104.96,,108.95,,67.24,,157.95,94.14,3.826,8.055
1.333,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.52,,105.37,,111.14,,66.78,,154.09,94.14,3.826,8.055
1.415,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.95,,105.09,,111.43,,67.41,,151.7,94.51,3.826,7.749
1.493,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.95,,105.59,,111.93,,67.41,,171.14,94.51,3.826,7.749
1.561,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.88,,105.2,,111.54,,67.48,,174.08,94.54,3.779,7.466
1.654,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.88,,103.88,,110.22,,67.48,,176.9,94.54,3.779,7.466
1.75,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.88,,103.88,,111.96,,67.48,,176.9,94.54,3.756,7.558
1.836,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.34,,100.84,,108.43,,66.76,,158.41,93.79,3.779,7.558
1.9,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.83,,102.28,,111.06,,67.98,,156.22,93.81,3.779,8.055
1.992,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.45,,103.81,,110.3,,57.42,,125.65,93.76,3.779,8.055
2.071,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.03,,104.47,,112.11,,54.6,,121.1,93.76,3.756,8.055
2.146,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.62,,104.08,,111.13,,61.75,,152.4,93.41,3.779,8.055
2.22,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.62,,103.12,,110.17,,64.81,,164.49,93.41,3.802,7.288
2.306,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.45,,102.42,,110.64,,64.81,,162.01,93.81,3.802,7.288
2.377,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.45,,102.88,,109.36,,66.67,,163.87,93.79,3.85,7.749
2.462,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.45,,101.7,,108.9,,64.77,,160.73,93.41,3.85,7.749
2.533,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.71,,100.96,,108.9,,64.77,,163.23,93.41,3.826,7.849
2.622,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.89,,102.09,,111.49,,65.95,,161.47,93.03,3.826,7.849
2.693,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.89,,102.53,,111.93,,60.3,,143.46,93.03,3.85,7.951
2.762,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.88,,101.42,,111.65,,55.39,,137.37,92.65,3.85,7.951
2.855,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.6,,99.94,,108.43,,53.61,,136.47,92.28,3.802,7.466
2.953,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.04,,100.07,,113.22,,58.86,,134.59,91.52,3.802,7.466
3.043,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.26,,100.73,,112.03,,61.92,,137.21,91.52,3.802,7.849
3.117,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.77,,98.65,,115.56,,55.91,,135.37,90.76,3.802,7.849
3.188,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.01,,97.41,,116.57,,53.0,,132.08,90.76,3.826,7.652
3.274,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.46,,96.15,,115.09,,50.25,,139.54,90.0,3.826,7.652
3.356,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.74,,98.82,,116.48,,57.41,,165.87,90.0,3.733,7.288
3.455,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.68,,91.92,,111.83,,57.85,,166.28,89.25,3.733,7.288
3.537,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.63,,89.25,,109.93,,59.53,,164.29,88.87,3.779,7.558
3.617,Weightlifting,Snatch,Side View,Not Detected,Detected,,31.64,,89.03,,113.0,,60.16,,169.26,88.1,3.779,7.558
3.679,Weightlifting,Snatch,Side View,Not Detected,Detected,,31.64,,88.43,,110.84,,60.16,,170.79,88.1,3.779,7.288
3.765,Weightlifting,Snatch,Side View,Not Detected,Detected,,31.51,,84.92,,112.62,,57.52,,165.04,86.59,3.779,7.288
3.843,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.41,,80.42,,113.01,,49.23,,137.16,86.59,3.779,7.749
3.925,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.41,,81.76,,114.36,,53.41,,146.31,86.24,3.779,7.749
4.004,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.19,,79.95,,112.09,,54.53,,142.66,85.86,3.802,7.652
4.066,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.81,,82.59,,114.23,,56.85,,151.19,84.7,3.802,7.652
4.127,Weightlifting,Snatch,Side View,Not Detected,Detected,,35.18,,81.19,,115.87,,50.92,,133.72,83.95,3.802,8.163
4.197,Weightlifting,Snatch,Side View,Not Detected,Detected,,35.93,,93.71,,115.5,,54.8,,136.44,83.91,3.802,8.163
4.257,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.66,,91.99,,113.78,,55.22,,129.7,83.16,3.779,7.288
4.334,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.45,,91.98,,113.46,,54.84,,137.62,81.6,3.802,7.288
4.413,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.69,,,,,,54.84,,136.99,81.6,3.802,7.376
4.495,Weightlifting,Snatch,Side View,Not Detected,Detected,,37.56,,,,,,54.85,,143.48,81.05,3.802,7.376
4.562,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.28,,,,,,54.01,,146.17,80.54,3.756,8.273
4.63,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.83,,83.51,,113.39,,53.73,,103.06,79.07,3.756,8.273
4.706,Weightlifting,Snatch,Side View,Not Detected,Detected,,35.18,,85.09,,113.36,,54.82,,79.4,78.31,3.756,7.652
4.769,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.03,,82.91,,111.71,,55.18,,139.51,77.09,3.756,7.652
4.846,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.26,,,,,,54.32,,155.32,76.83,3.826,7.466
4.905,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.37,,,,,,56.75,,175.85,75.87,3.826,7.466
4.985,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.61,,,,,,56.89,,172.23,76.16,3.779,7.466
5.055,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.15,,,,,,54.88,,171.27,75.67,3.779,7.466
5.125,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.54,,,,,,40.56,,152.11,75.28,3.756,8.055
5.186,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.53,,,,,,38.59,,151.89,74.28,3.756,8.055
5.252,Weightlifting,Snatch,Side View,Not Detected,Detected,,35.84,,,,,,40.02,,154.55,73.66,3.779,7.376
5.323,Weightlifting,Snatch,Side View,Not Detected,Detected,,35.14,,,,,,38.19,,149.01,73.14,3.779,7.376
5.393,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.04,,,,,,39.13,,151.79,73.02,3.802,7.118
5.457,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.99,,,,,,38.77,,138.49,71.43,3.802,7.118
5.517,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.92,,,,,,40.04,,124.41,70.51,3.733,7.849
5.587,Weightlifting,Snatch,Side View,Not Detected,Detected,,35.02,,,,,,39.26,,140.08,69.73,3.733,7.849
5.674,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.96,,,,,,37.44,,143.64,69.49,3.802,7.749
5.743,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.83,,,,,,37.71,,135.77,68.58,3.802,7.749
5.819,Weightlifting,Snatch,Side View,Not Detected,Detected,,36.65,,,,,,37.53,,136.68,67.82,3.779,7.849
5.894,Weightlifting,Snatch,Side View,Not Detected,Detected,,37.24,,,,,,38.16,,144.54,67.6,3.779,7.849
5.98,Weightlifting,Snatch,Side View,Not Detected,Detected,,37.15,,,,,,38.89,,155.81,67.23,3.779,7.749
6.065,Weightlifting,Snatch,Side View,Not Detected,Detected,,34.6,,,,,,42.23,,161.03,67.23,3.779,7.749
6.135,Weightlifting,Snatch,Side View,Not Detected,Detected,,32.71,,,,,,43.52,,166.73,66.32,3.779,7.652
6.213,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.14,,,,,,43.09,,159.72,66.49,3.779,7.652
6.287,Weightlifting,Snatch,Side View,Not Detected,Detected,,33.86,,,,,,42.37,,159.59,65.96,3.779,7.558
6.363,Weightlifting,Snatch,Side View,Not Detected,Detected,,37.04,,,,,,40.03,,162.13,65.03,3.779,7.558
6.44,Weightlifting,Snatch,Side View,Not Detected,Detected,,37.93,,,,,,38.77,,163.43,65.2,3.779,7.849
6.514,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.02,,,,,,40.83,,163.25,65.03,3.779,7.849
6.582,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.55,,,,,,41.64,,164.4,64.86,3.779,7.376
6.677,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.55,,,,,,41.64,,158.78,64.33,3.779,7.376
6.769,Weightlifting,Snatch,Side View,Not Detected,Detected,,37.69,,,,,,41.14,,154.39,63.97,3.756,7.466
6.867,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.69,,,,,,42.53,,154.93,64.86,3.779,7.466
6.936,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.16,,,,,,42.85,,154.93,65.03,3.756,7.202
7.025,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.55,,,,,,41.82,,138.54,64.5,3.756,7.202
7.107,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.55,,,,,,41.82,,143.48,64.67,3.756,7.652
7.181,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.02,,,,,,39.2,,151.82,64.84,3.756,7.652
7.248,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.72,,,,,,39.06,,154.59,64.32,3.779,7.849
7.307,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.06,,,,,,39.36,,157.07,64.14,3.779,7.849
7.381,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.55,,,,,,39.49,,156.44,65.03,3.779,7.558
7.459,Weightlifting,Snatch,Side View,Not Detected,Detected,,38.69,,,,,,39.58,,155.93,65.39,3.779,7.558
7.527,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.55,,,,,,39.58,,157.97,65.39,3.756,7.376
7.587,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.26,,,,,,41.14,,165.76,65.39,3.756,7.376
7.655,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.41,,,,,,40.77,,165.46,64.67,3.756,7.288
7.718,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.57,,,,,,41.61,,166.64,64.14,3.756,7.288
7.801,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.01,,,,,,41.27,,164.4,64.49,3.756,7.288
7.872,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.7,,,,,,41.06,,154.9,63.78,3.756,7.288
7.945,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.48,,,,,,42.21,,140.9,64.3,3.71,7.466
8.013,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.44,,,,,,41.19,,152.31,64.12,3.733,7.466
