metric,mean,min,max,valid_samples
left_hip_angle_deg,170.338,98.3,180.0,202
right_hip_angle_deg,124.836,35.72,180.0,859
left_knee_angle_deg,174.043,101.2,180.0,202
right_knee_angle_deg,133.062,47.0,179.97,859
left_ankle_angle_deg,131.807,80.32,176.04,202
right_ankle_angle_deg,119.702,61.57,178.62,859
left_shoulder_angle_deg,25.752,11.61,33.82,148
right_shoulder_angle_deg,62.777,0.06,179.94,818
left_elbow_angle_deg,105.474,55.71,179.53,148
right_elbow_angle_deg,135.56,3.58,180.0,713
trunk_lean_angle_deg,21.613,0.0,60.91,859
athlete_depth_m,3.822,3.061,4.311,859
center_depth_m,7.607,6.957,8.503,858
barbell_horizontal_displacement_px,-2.752,-127.0,47.0,798
barbell_vertical_displacement_px,110.525,-21.0,255.0,798
barbell_vertical_velocity_px_s,1.361,-750.87,301.72,798
barbell_horizontal_velocity_px_s,-3.048,-275.2,227.94,798
