time_s,phase,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px
0.018,First Pull,True,255.0,372.0,30.0,12.0,16.1,16.1,28.0
0.08,First Pull,True,238.0,390.0,13.0,-6.0,-291.39,-275.2,28.0
0.142,First Pull,True,235.0,392.0,10.0,-8.0,-32.27,-48.41,28.0
0.204,First Pull,True,236.0,394.0,11.0,-10.0,-32.16,16.08,28.0
0.268,First Pull,True,236.0,397.0,11.0,-13.0,-46.96,0.0,28.0
0.332,First Pull,True,241.0,394.0,16.0,-10.0,46.67,77.79,28.0
0.394,First Pull,True,242.0,393.0,17.0,-9.0,16.29,16.29,28.0
0.456,First Pull,True,242.0,394.0,17.0,-10.0,-15.97,0.0,28.0
0.519,First Pull,True,241.0,393.0,16.0,-9.0,15.94,-15.94,28.0
0.588,First Pull,True,234.0,401.0,9.0,-17.0,-117.48,-102.8,28.0
0.642,First Pull,True,233.0,401.0,8.0,-17.0,0.0,-18.29,28.0
0.706,First Pull,True,233.0,402.0,8.0,-18.0,-15.47,0.0,28.0
0.77,First Pull,True,232.0,401.0,7.0,-17.0,15.84,-15.84,28.0
0.834,First Pull,True,233.0,398.0,8.0,-14.0,47.16,15.72,28.0
0.894,First Pull,True,234.0,396.0,9.0,-12.0,32.87,16.43,28.0
0.957,First Pull,True,234.0,397.0,9.0,-13.0,-15.91,0.0,28.0
1.018,First Pull,True,234.0,399.0,9.0,-15.0,-32.74,0.0,28.0
1.083,First Pull,True,235.0,399.0,10.0,-15.0,0.0,15.33,28.0
1.148,First Pull,True,237.0,399.0,12.0,-15.0,0.0,31.24,28.0
1.208,First Pull,True,236.0,400.0,11.0,-16.0,-16.4,-16.4,28.0
1.271,First Pull,True,235.0,400.0,10.0,-16.0,0.0,-16.04,28.0
1.336,First Pull,True,234.0,403.0,9.0,-19.0,-45.81,-15.27,28.0
1.394,First Pull,True,234.0,403.0,9.0,-19.0,0.0,0.0,28.0
1.456,First Pull,True,234.0,403.0,9.0,-19.0,0.0,0.0,28.0
1.519,First Pull,True,235.0,400.0,10.0,-16.0,47.61,15.87,28.0
1.58,First Pull,True,235.0,398.0,10.0,-14.0,32.76,0.0,28.0
1.642,First Pull,True,235.0,397.0,10.0,-13.0,16.03,0.0,28.0
1.705,First Pull,True,235.0,397.0,10.0,-13.0,0.0,0.0,28.0
1.772,First Pull,True,235.0,397.0,10.0,-13.0,0.0,0.0,28.0
1.828,First Pull,True,234.0,398.0,9.0,-14.0,-16.48,-16.48,28.0
1.892,First Pull,True,234.0,399.0,9.0,-15.0,-15.86,0.0,28.0
1.955,First Pull,True,236.0,397.0,11.0,-13.0,31.31,31.31,28.0
2.02,First Pull,True,237.0,396.0,12.0,-12.0,15.32,15.32,28.0
2.084,First Pull,True,236.0,398.0,11.0,-14.0,-31.86,-15.93,28.0
2.144,First Pull,True,236.0,399.0,11.0,-15.0,-16.5,0.0,28.0
2.206,First Pull,True,234.0,399.0,9.0,-15.0,0.0,-31.45,28.0
2.27,First Pull,True,234.0,399.0,9.0,-15.0,0.0,0.0,28.0
2.334,First Pull,True,236.0,395.0,11.0,-11.0,64.12,32.06,28.0
2.393,First Pull,True,240.0,390.0,15.0,-6.0,84.65,67.72,28.0
2.455,First Pull,True,238.0,398.0,13.0,-14.0,-127.18,-31.79,28.0
2.517,First Pull,True,237.0,401.0,12.0,-17.0,-47.89,-15.96,28.0
2.582,First Pull,True,237.0,399.0,12.0,-15.0,30.77,0.0,28.0
2.644,First Pull,True,237.0,398.0,12.0,-14.0,16.27,0.0,28.0
2.708,First Pull,True,237.0,395.0,12.0,-11.0,46.65,0.0,28.0
2.773,First Pull,True,238.0,394.0,13.0,-10.0,15.51,15.51,28.0
2.834,First Pull,True,235.0,397.0,10.0,-13.0,-48.8,-48.8,28.0
2.894,First Pull,True,235.0,397.0,10.0,-13.0,0.0,0.0,28.0
2.956,First Pull,True,235.0,398.0,10.0,-14.0,-16.28,0.0,28.0
3.019,First Pull,True,234.0,398.0,9.0,-14.0,0.0,-15.77,28.0
3.088,First Pull,True,235.0,396.0,10.0,-12.0,29.33,14.66,28.0
3.158,First Pull,True,236.0,395.0,11.0,-11.0,14.2,14.2,28.0
3.219,First Pull,True,236.0,394.0,11.0,-10.0,16.21,0.0,28.0
3.282,First Pull,True,237.0,391.0,12.0,-7.0,47.82,15.94,28.0
3.345,First Pull,True,236.0,393.0,11.0,-9.0,-31.86,-15.93,28.0
3.407,First Pull,True,236.0,394.0,11.0,-10.0,-16.05,0.0,28.0
3.472,First Pull,True,236.0,397.0,11.0,-13.0,-46.13,0.0,28.0
3.534,First Pull,True,236.0,399.0,11.0,-15.0,-32.53,0.0,28.0
3.598,First Pull,True,243.0,387.0,18.0,-3.0,185.96,108.48,28.0
3.663,First Pull,True,245.0,385.0,20.0,-1.0,30.55,30.55,28.0
3.723,First Pull,True,242.0,389.0,17.0,-5.0,-66.34,-49.75,28.0
