Frame,Timestamp,Record Type,sport,exercise,camera_view,input_mode,source_file,Pose,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Trunk Lean Angle,Athlete Depth (m),Center Depth (m),Barbell Detected,Barbell X (px),Barbell Y (px),Barbell Raw Horizontal Displacement (px),Barbell Raw Vertical Displacement (px),Barbell Raw Vertical Velocity (px/s),Barbell Raw Horizontal Velocity (px/s),Barbell Raw Max Height (px),Barbell X (m),Barbell Y (m),Barbell Z Depth (m),Barbell Raw Horizontal Displacement (m),Barbell Raw Vertical Displacement (m),Barbell Raw Vertical Velocity (m/s),Barbell Raw Horizontal Velocity (m/s),Barbell Raw Max Height (m),Barbell Horizontal Displacement (px),Barbell Vertical Displacement (px),Barbell Vertical Velocity (px/s),Barbell Horizontal Velocity (px/s),Barbell Max Height (px),Barbell Horizontal Displacement (m),Barbell Vertical Displacement (m),Barbell Vertical Velocity (m/s),Barbell Horizontal Velocity (m/s),Barbell Max Height (m),Barbell Above Head,Athlete Head Y (px),Barbell Head Clearance (px),Phase,Exercise,Camera View,Time (s)
-1,2026-07-03T13:43:37.677571,Metadata,Weightlifting,Snatch,Side View,RealSense Bag File,E:/Pose estimation tool/Recording_bagFiles/SideView_Snatch/20240405_132144.bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2026-07-03T13:43:37.685,,,,,,,Detected,,32.31,,107.83,,119.64,,66.23,,133.87,101.07,3.733,7.288,True,202.0,424.0,0.0,-1.0,-12.44,0.0,0.0,-0.6498,0.9498,3.222,-0.0034,-0.0102,-0.0649,0.0,0.0,,,,,,,,,,,False,335.27,-88.73,Setup,Snatch,Side View,0.008
1,2026-07-03T13:43:37.780,,,,,,,Detected,,32.97,,108.49,,119.64,,68.52,,138.07,101.07,3.802,7.849,True,201.0,423.0,-1.0,0.0,10.56,-10.56,0.0,-0.6585,0.9496,3.239,-0.0121,-0.01,0.0024,-0.0916,0.0,,,,,,,,,,,False,335.22,-87.78,Setup,Snatch,Side View,0.1027
2,2026-07-03T13:43:37.874,,,,,,,Detected,,31.79,,102.2,,119.67,,68.52,,139.99,101.07,3.802,7.849,True,201.0,423.0,-1.0,0.0,0.0,0.0,0.0,-0.6585,0.9496,3.239,-0.0121,-0.01,-0.0,0.0,0.0,,,,,,,,,,,False,334.85,-88.15,Setup,Snatch,Side View,0.1964
3,2026-07-03T13:43:37.972,,,,,,,Detected,,32.7,,100.56,,120.24,,68.44,,140.44,100.67,3.756,7.652,True,202.0,424.0,0.0,-1.0,-10.58,10.58,0.0,-0.6464,0.9448,3.205,0.0,-0.0052,0.0506,0.128,0.0,,,,,,,,,,,False,334.38,-89.62,Setup,Snatch,Side View,0.2952
4,2026-07-03T13:43:38.065,,,,,,,Detected,,33.29,,99.19,,121.6,,67.71,,139.99,100.99,3.756,7.652,True,201.0,423.0,-1.0,0.0,10.47,-10.47,0.0,-0.6551,0.9446,3.222,-0.0086,-0.005,0.0021,-0.0905,0.0,,,,,,,,,,,False,333.54,-89.46,Setup,Snatch,Side View,0.3878
5,2026-07-03T13:43:38.156,,,,,,,Detected,,34.05,,102.06,,122.81,,66.42,,142.74,100.92,3.756,7.376,True,201.0,423.0,-1.0,0.0,0.0,0.0,0.0,-0.6551,0.9446,3.222,-0.0086,-0.005,-0.0,0.0,0.0,,,,,,,,,,,False,333.57,-89.43,Setup,Snatch,Side View,0.4785
6,2026-07-03T13:43:38.239,,,,,,,Detected,,36.49,,107.25,,114.16,,62.58,,134.72,100.59,3.756,7.376,True,202.0,424.0,0.0,-1.0,-12.34,12.34,0.0,-0.6498,0.9498,3.222,-0.0034,-0.0102,-0.0643,0.0644,0.0,,,,,,,,,,,False,334.73,-89.27,Setup,Snatch,Side View,0.5624
7,2026-07-03T13:43:38.331,,,,,,,Detected,,37.12,,109.88,,112.93,,61.49,,133.34,100.59,3.756,7.951,True,201.0,423.0,-1.0,0.0,10.69,-10.69,0.0,-0.6516,0.9396,3.205,-0.0052,-0.0,0.1091,-0.0188,0.0,,,,,,,,,,,False,335.31,-87.69,Setup,Snatch,Side View,0.6535
8,2026-07-03T13:43:38.423,,,,,,,Detected,,34.76,,106.95,,114.3,,67.02,,133.93,100.45,3.756,7.951,True,202.0,423.0,0.0,0.0,0.0,10.78,0.0,-0.6464,0.9396,3.205,0.0,-0.0,-0.0,0.056,0.0,,,,,,,,,,,False,335.52,-87.48,Setup,Snatch,Side View,0.7461
