time_s,phase,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.07,Setup,True,202,424,,,,,,-0.6533,0.9548,3.239,,,,,
0.157,Setup,True,202,424,,,,,,-0.6533,0.9548,3.239,,,,,
0.252,Setup,True,202,423,,,,,,-0.6533,0.9496,3.239,,,,,
0.343,Setup,True,203,424,,,,,,-0.648,0.9548,3.239,,,,,
0.434,Setup,True,203,424,,,,,,-0.648,0.9548,3.239,,,,,
0.53,Setup,True,203,423,,,,,,-0.6514,0.9546,3.256,,,,,
0.626,Setup,True,203,423,,,,,,-0.6446,0.9446,3.222,,,,,
0.721,Setup,True,203,424,,,,,,-0.6446,0.9498,3.222,,,,,
0.803,Setup,True,202,423,,,,,,-0.6567,0.9546,3.256,,,,,
0.898,Setup,True,203,424,,,,,,-0.6514,0.9598,3.256,,,,,
0.999,Setup,True,202,423,,,,,,-0.6498,0.9446,3.222,,,,,
1.1,Setup,True,204,423,,,,,,-0.6394,0.9446,3.222,,,,,
1.187,Setup,True,203,423,,,,,,-0.6378,0.9346,3.188,,,,,
1.287,Setup,True,203,423,,,,,,-0.6378,0.9346,3.188,,,,,
1.377,Setup,True,203,423,,,,,,-0.648,0.9496,3.239,,,,,
1.465,Setup,True,204,423,,,,,,-0.6462,0.9546,3.256,,,,,
1.545,Setup,True,203,422,,,,,,-0.6446,0.9394,3.222,,,,,
1.625,Setup,True,204,423,,,,,,-0.6394,0.9446,3.222,,,,,
1.719,Setup,True,203,423,,,,,,-0.6412,0.9396,3.205,,,,,
1.816,Setup,True,204,424,,,,,,-0.6327,0.9398,3.188,,,,,
1.907,Setup,True,204,423,,,,,,-0.636,0.9396,3.205,,,,,
1.988,Setup,True,203,423,,,,,,-0.6412,0.9396,3.205,,,,,
2.079,Setup,True,205,424,,,,,,-0.6275,0.9398,3.188,,,,,
2.166,Setup,True,204,423,,,,,,-0.636,0.9396,3.205,,,,,
