time_s,athlete_depth_m,center_depth_m
0.003,3.71,7.466
0.093,3.802,7.652
0.188,3.802,7.652
0.272,3.733,7.288
0.369,3.733,7.288
0.458,3.71,7.288
0.547,3.71,7.288
0.627,3.71,7.202
0.715,3.71,7.202
0.807,3.733,7.202
0.897,3.733,7.202
0.974,3.756,7.749
1.06,3.733,7.749
1.156,3.756,7.288
1.251,3.756,7.288
1.349,3.756,7.466
1.441,3.756,7.466
1.537,3.733,7.558
1.634,3.733,7.558
1.728,3.756,7.749
1.823,3.756,7.749
1.921,3.779,7.652
2.008,3.779,7.652
2.091,3.733,7.849
2.189,3.733,7.849
2.278,3.756,8.055
2.359,3.756,8.055
2.438,3.756,7.749
2.517,3.756,7.749
2.61,3.779,7.466
2.704,3.802,7.466
2.797,3.779,7.951
2.872,3.779,7.951
2.951,3.756,7.558
3.032,3.756,7.558
3.125,3.802,7.558
3.218,3.802,7.558
3.296,3.756,7.558
3.379,3.756,7.558
3.472,3.71,8.055
3.563,3.71,8.055
3.641,3.802,7.951
3.724,3.802,7.951
3.814,3.756,7.376
3.907,3.756,7.376
3.987,3.802,7.749
4.081,3.802,7.749
4.174,3.802,7.749
4.254,3.802,7.749
4.346,3.826,7.849
4.425,3.826,7.849
4.518,3.802,7.749
4.598,3.802,7.749
4.682,3.802,7.288
4.774,3.802,7.288
4.858,3.826,7.558
4.948,3.85,7.558
5.028,3.802,7.466
5.105,3.802,7.466
5.186,3.802,7.749
5.263,3.802,7.749
5.342,3.826,7.749
5.423,3.826,7.749
5.499,3.802,8.163
5.578,3.802,8.163
5.659,3.756,7.652
5.756,3.756,7.652
5.849,3.802,8.273
5.943,3.802,8.273
6.038,3.779,7.749
6.116,3.779,7.749
6.194,3.756,7.652
6.274,3.756,7.652
6.353,3.802,7.652
6.432,3.802,7.652
6.512,3.756,7.118
6.605,3.756,7.118
6.7,3.779,7.558
6.795,3.779,7.558
6.889,3.756,7.652
6.98,3.756,7.652
7.062,3.779,7.466
7.158,3.779,7.466
7.253,3.802,7.202
7.342,3.802,7.202
7.422,3.779,7.037
7.5,3.779,7.037
7.585,3.802,7.466
7.695,3.802,7.466
7.823,3.826,7.376
7.925,3.826,7.376
8.039,3.756,7.466
8.139,3.756,7.466
8.251,3.779,7.558
8.345,3.779,7.558
8.436,3.826,7.118
8.534,3.85,7.118
8.635,3.85,7.037
8.73,3.85,7.037
8.822,3.826,7.849
8.92,3.826,7.849
9.027,3.802,7.466
9.119,3.802,7.466
9.218,3.826,7.652
9.309,3.826,7.652
9.403,3.779,7.849
9.504,3.756,7.849
9.606,3.85,7.466
9.71,3.85,7.466
9.817,3.826,7.951
9.936,3.826,7.951
10.035,3.826,7.466
10.125,3.826,7.466
10.227,3.826,7.652
10.33,3.826,7.652
10.421,3.826,8.163
10.514,3.826,8.163
10.608,3.875,7.466
10.704,3.875,7.466
10.8,3.802,7.118
10.892,3.802,7.118
10.991,3.756,7.652
11.089,3.756,7.652
11.179,3.826,7.558
11.271,3.826,7.558
11.371,3.85,7.558
11.457,3.85,7.558
11.56,3.875,7.951
11.647,3.875,7.951
11.742,3.826,7.951
11.832,3.826,7.951
11.93,3.85,7.466
12.032,3.85,7.466
12.121,3.826,7.652
12.217,3.826,7.652
12.32,3.826,7.749
12.405,3.826,7.749
12.496,3.826,7.558
12.595,3.826,7.558
12.69,3.802,7.849
12.783,3.826,7.849
12.887,3.85,8.163
12.977,3.85,8.163
13.071,3.826,7.202
13.169,3.826,7.202
13.263,3.85,7.749
13.363,3.85,7.749
13.449,3.85,7.951
13.545,3.85,7.951
13.641,3.826,7.652
13.736,3.826,7.652
13.832,3.826,7.202
13.928,3.826,7.202
